mis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
rA:dC,1.0,0.8,0.611111111,0.625,0.72,0.7142857140000001,0.705882353,0.7333333329999999,0.666666667,0.5555555560000001,0.65,0.7222222220000001,0.6521739129999999,0.46666666700000003,0.65,0.192307692,0.176470588,0.4,0.375,0.764705882
rC:dA,1.0,0.9090909090000001,0.6875,0.8,0.636363636,0.9285714290000001,0.8125,0.875,0.875,0.9411764709999999,0.307692308,0.538461538,0.7,0.7333333329999999,0.066666667,0.307692308,0.46666666700000003,0.642857143,0.46153846200000004,0.3
rG:dG,0.7142857140000001,0.692307692,0.384615385,0.529411765,0.7857142859999999,0.681818182,0.6875,0.615384615,0.538461538,0.4,0.428571429,0.529411765,0.42105263200000004,0.428571429,0.272727273,0.0,0.235294118,0.47619047600000003,0.448275862,0.428571429
rU:dC,0.956521739,0.84,0.5,0.625,0.64,0.571428571,0.588235294,0.7333333329999999,0.6190476189999999,0.5,0.4,0.5,0.260869565,0.0,0.05,0.346153846,0.117647059,0.333333333,0.25,0.176470588
rA:dA,1.0,0.727272727,0.705882353,0.636363636,0.363636364,0.7142857140000001,0.4375,0.428571429,0.6,0.882352941,0.307692308,0.333333333,0.3,0.533333333,0.2,0.0,0.133333333,0.5,0.538461538,0.6
rU:dG,0.857142857,0.857142857,0.428571429,0.647058824,1.0,0.9090909090000001,0.6875,1.0,0.923076923,0.533333333,0.666666667,0.947368421,0.7894736840000001,0.28571428600000004,0.272727273,0.666666667,0.705882353,0.428571429,0.275862069,0.090909091
rC:dC,0.913043478,0.695652174,0.5,0.5,0.6,0.5,0.470588235,0.642857143,0.6190476189999999,0.38888888899999996,0.25,0.444444444,0.13636363599999998,0.0,0.05,0.153846154,0.058823529000000006,0.133333333,0.125,0.058823529000000006
rG:dT,0.9,0.846153846,0.75,0.9,0.8666666670000001,1.0,1.0,1.0,0.642857143,0.933333333,1.0,0.933333333,0.923076923,0.75,0.9411764709999999,1.0,0.933333333,0.692307692,0.7142857140000001,0.9375
rA:dG,0.857142857,0.7857142859999999,0.428571429,0.352941176,0.5,0.454545455,0.4375,0.428571429,0.571428571,0.333333333,0.4,0.263157895,0.21052631600000002,0.214285714,0.272727273,0.0,0.176470588,0.19047619,0.20689655199999998,0.22727272699999998
rC:dT,1.0,0.727272727,0.8666666670000001,0.842105263,0.571428571,0.9285714290000001,0.75,0.65,0.857142857,0.8666666670000001,0.75,0.7142857140000001,0.384615385,0.35,0.222222222,1.0,0.46666666700000003,0.538461538,0.428571429,0.5
rG:dA,1.0,0.636363636,0.5,0.363636364,0.3,0.666666667,0.571428571,0.625,0.533333333,0.8125,0.384615385,0.384615385,0.3,0.26666666699999997,0.14285714300000002,0.0,0.25,0.666666667,0.666666667,0.7
rU:dT,1.0,0.846153846,0.7142857140000001,0.47619047600000003,0.5,0.8666666670000001,0.875,0.8,0.9285714290000001,0.857142857,0.75,0.8,0.692307692,0.6190476189999999,0.578947368,0.9090909090000001,0.533333333,0.666666667,0.28571428600000004,0.5625
